类别,项目,2-3小时,4-5小时,6-7小时,8-9小时,说明
营养系数,男性碳水(g/kg),2.2,2.5,3.0,3.5,体重kg乘以系数
营养系数,女性碳水(g/kg),2.0,2.2,2.5,3.0,体重kg乘以系数
营养系数,蛋白质(g/kg),1.4,1.6,1.7,1.8,男女通用
营养系数,男性脂肪(g/kg),0.8,0.9,1.0,1.0,体重kg乘以系数
营养系数,女性脂肪(g/kg),1.0,1.1,1.2,1.2,体重kg乘以系数
食材换算,燕麦,60g碳水/100g,13g蛋白/100g,7g脂肪/100g,,早餐
食材换算,根茎类,22g碳水/100g,,,,红薯/紫薯/土豆/贝贝南瓜
食材换算,鸡蛋,4g蛋白/个,4g脂肪/个,,,,
食材换算,鱼类,18g蛋白/100g,,,,龙利鱼/巴沙鱼
食材换算,虾仁,20g蛋白/100g,,,,,
食材换算,禽肉,24g蛋白/100g,,,,去皮鸡腿/鸡胸
食材换算,瘦牛肉,24g蛋白/100g,,,,,
食材换算,坚果,60g脂肪/100g,18g蛋白/100g,,,晚餐约20g
三餐,早餐,燕麦,鸡蛋,蓝莓,南瓜籽,按个人目标填写
三餐,午餐,米饭,白肉,蔬菜,橄榄油,按个人目标填写
三餐,晚餐,根茎类,瘦牛肉,蔬菜,坚果约20g,按个人目标填写
执行,周期,3个月,,,,,
执行,复盘,约每10天,,,,体重+照片+腰围+训练表现
执行,盐,6-8g/天,,,,1g钠约等于2.5g盐
执行,调整,根据反馈微调碳水,,,,一次只调整一个变量
