训练日,训练部位,动作,阶段,组数,次数,组间休息,备注
A,胸/三角肌中束/肱三头肌,杠铃卧推,第1周,4,"15;12;10;8",60-90秒,优先自由重量；动作规范
A,胸/三角肌中束/肱三头肌,杠铃卧推,第2周,4,"12;10;8;6",60-90秒,重量递增；保持动作质量
A,胸/三角肌中束/肱三头肌,杠铃卧推,第3周,4,"10;8;6;力竭",60-90秒,逐渐接近力竭；注意疲劳管理
A,胸/三角肌中束/肱三头肌,哑铃上斜卧推,全周期,4,12次/组,60-90秒,根据能力调整重量
A,胸/三角肌中束/肱三头肌,双杠臂屈伸（或退阶动作）,全周期,4,12次/组（或力竭）,60-90秒,退阶可撑凳子做
A,胸/三角肌中束/肱三头肌,仰卧臂屈伸,全周期,4,15次/组,60-90秒,感受三头收缩
A,胸/三角肌中束/肱三头肌,Y字侧平举,全周期,3,10+10次/组,60-90秒,先做10次；休息5秒；再做10次
B,背/三角肌后束/肱二头肌,单侧钢线下拉,第1周,4,"12;12;10;10",60-90秒,调整滑轮角度；侧重背阔肌
B,背/三角肌后束/肱二头肌,单侧钢线下拉,第2周,4,"10;10;10;10",60-90秒,重量递增；保持背部收缩感
B,背/三角肌后束/肱二头肌,单侧钢线下拉,第3周,4,"10;10;10;力竭",60-90秒,逐渐力竭；注意动作幅度
B,背/三角肌后束/肱二头肌,对握下拉,全周期,4,12次/组,60-90秒,感受背部收缩
B,背/三角肌后束/肱二头肌,单手器械划船,全周期,4,12次/组,60-90秒,侧重上斜方肌
B,背/三角肌后束/肱二头肌,坐姿划船,全周期,4,12次/组,60-90秒,注意肩胛骨活动度
B,背/三角肌后束/肱二头肌,钢线弯举,全周期,4,12次/组,60-90秒,侧重二头训练
C,臀/股四头肌,单腿硬拉,全周期,4,12次/组,60-90秒,侧重后侧链；保持平衡
C,臀/股四头肌,保加利亚深蹲,全周期,4,12次/组,60-90秒,提升单腿力量
C,臀/股四头肌,颈前深蹲,全周期,3,15次/组,60-90秒,全身参与度高
C,臀/股四头肌,罗马尼亚硬拉,全周期,4,12次/组,60-90秒,侧重臀腿后侧
C,臀/股四头肌,山羊挺身,全周期,4,8次/组,60-90秒,强化竖脊肌

CORE,腹部核心,反向山羊挺身,全周期,4,20次/组,60-90秒,隔天一练；四种细分形式任选其一
CORE,腹部核心,绳索跪姿卷腹,全周期,4,15次/组,60-90秒,固定臀部；肘部拉向大腿
CORE,腹部核心,悬垂举腿,全周期,4,12次/组,60-90秒,主动后卷骨盆；避免摆动
